time	V(vcc)	V(vin)
4.049021262865826e-003	9.000000e+000	9.967861e-003
4.052636124647889e-003	9.000000e+000	9.924453e-003
4.057290557933163e-003	9.000000e+000	9.655401e-003
4.064831404751574e-003	9.000000e+000	8.741171e-003
4.076816702152417e-003	9.000000e+000	6.431966e-003
4.088266456995626e-003	9.000000e+000	3.503129e-003
4.097676999182071e-003	9.000000e+000	7.130418e-004
4.106430710220489e-003	9.000000e+000	-1.968803e-003
4.115192473675798e-003	9.000000e+000	-4.505148e-003
4.124134195039691e-003	9.000000e+000	-6.745747e-003
4.132809970143375e-003	9.000000e+000	-8.465759e-003
4.138988722916152e-003	9.000000e+000	-9.354119e-003
4.142761269723398e-003	9.000000e+000	-9.713857e-003
4.145931162924455e-003	9.000000e+000	-9.894486e-003
4.149018373933949e-003	9.000000e+000	-9.967730e-003
4.152635050024914e-003	9.000000e+000	-9.924466e-003
4.157288810417856e-003	9.000000e+000	-9.655548e-003
4.164828587907468e-003	9.000000e+000	-8.741610e-003
4.176812304068953e-003	9.000000e+000	-6.432958e-003
4.188264261100162e-003	9.000000e+000	-3.503902e-003
4.197653473972022e-003	9.000000e+000	-7.203399e-004
4.206386463988255e-003	9.000000e+000	1.955614e-003
4.215127690620877e-003	9.000000e+000	4.487557e-003
4.224071056883084e-003	9.000000e+000	6.731992e-003
4.232721962493022e-003	9.000000e+000	8.450128e-003
4.239001659311971e-003	9.000000e+000	9.354687e-003
4.242770885307586e-003	9.000000e+000	9.714539e-003
4.245943121599621e-003	9.000000e+000	9.895018e-003
4.249021041887104e-003	9.000000e+000	9.967851e-003
4.252636042448549e-003	9.000000e+000	9.924455e-003
4.257290424263461e-003	9.000000e+000	9.655413e-003
4.264831189288013e-003	9.000000e+000	8.741205e-003
4.276816365740573e-003	9.000000e+000	6.432041e-003
4.288266289011990e-003	9.000000e+000	3.503168e-003
4.297677785746912e-003	9.000000e+000	7.127970e-004
4.306432399996368e-003	9.000000e+000	-1.969306e-003
4.315195059822466e-003	9.000000e+000	-4.505849e-003
4.324136726552229e-003	9.000000e+000	-6.746312e-003
4.332812631726650e-003	9.000000e+000	-8.466211e-003
4.338989856767583e-003	9.000000e+000	-9.354257e-003
4.342762112484510e-003	9.000000e+000	-9.713917e-003
4.345932211056989e-003	9.000000e+000	-9.894532e-003
4.349018607764514e-003	9.000000e+000	-9.967741e-003
4.352635137005242e-003	9.000000e+000	-9.924465e-003
4.357288951862375e-003	9.000000e+000	-9.655536e-003
4.364828815904356e-003	9.000000e+000	-8.741574e-003
4.376812660054828e-003	9.000000e+000	-6.432878e-003
4.388264438819061e-003	9.000000e+000	-3.503861e-003
4.397652678820424e-003	9.000000e+000	-7.205874e-004
4.406384748628012e-003	9.000000e+000	1.955104e-003
4.415125062003982e-003	9.000000e+000	4.486844e-003
4.424068483077429e-003	9.000000e+000	6.731415e-003
4.432719348183867e-003	9.000000e+000	8.449682e-003
4.439000581346202e-003	9.000000e+000	9.354557e-003
4.442770084032838e-003	9.000000e+000	9.714482e-003
4.445942125083079e-003	9.000000e+000	9.894974e-003
4.449020819561348e-003	9.000000e+000	9.967841e-003
4.452635959748111e-003	9.000000e+000	9.924455e-003
4.457290289778880e-003	9.000000e+000	9.655424e-003
4.464830972510863e-003	9.000000e+000	8.741238e-003
4.476816027277352e-003	9.000000e+000	6.432117e-003
4.488266120007071e-003	9.000000e+000	3.503206e-003
4.497678600929847e-003	9.000000e+000	7.125432e-004
4.506434146802013e-003	9.000000e+000	-1.969825e-003
4.515197731176533e-003	9.000000e+000	-4.506573e-003
4.524139341300694e-003	9.000000e+000	-6.746895e-003
4.532815439561154e-003	9.000000e+000	-8.466686e-003
4.538991040469610e-003	9.000000e+000	-9.354400e-003
4.542762992303809e-003	9.000000e+000	-9.713979e-003
4.545933305276238e-003	9.000000e+000	-9.894582e-003
4.549018851877788e-003	9.000000e+000	-9.967752e-003
4.552635227810498e-003	9.000000e+000	-9.924464e-003
4.557289099526852e-003	9.000000e+000	-9.655524e-003
4.564829053927204e-003	9.000000e+000	-8.741538e-003
4.576813031694374e-003	9.000000e+000	-6.432795e-003
4.588264624356415e-003	9.000000e+000	-3.503819e-003
4.597651859660764e-003	9.000000e+000	-7.208425e-004
4.606382979324446e-003	9.000000e+000	1.954577e-003
4.615122349725574e-003	9.000000e+000	4.486108e-003
4.624065827322526e-003	9.000000e+000	6.730820e-003
4.632716650606691e-003	9.000000e+000	8.449220e-003
4.638999495525350e-003	9.000000e+000	9.354424e-003
4.642769276924023e-003	9.000000e+000	9.714425e-003
